epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,24129.7,0.69278,0.4239,1.17945,0.77554,0.77384,0.80636,0.48695,1.44226,0.89568,2.0874,0.00091442,0.00091442,0.00091442
165,24276.1,0.69285,0.42191,1.18209,0.77235,0.77407,0.80618,0.4868,1.44158,0.89534,2.08824,0.00090776,0.00090776,0.00090776
166,24421.9,0.68516,0.42019,1.17769,0.7728,0.77428,0.80652,0.48702,1.44185,0.89579,2.08939,0.0009011,0.0009011,0.0009011
167,24568.1,0.6855,0.41859,1.17506,0.77495,0.7728,0.8059,0.4872,1.44186,0.89581,2.09237,0.00089444,0.00089444,0.00089444
168,24714.7,0.67753,0.41456,1.16749,0.77484,0.77325,0.80612,0.48745,1.44166,0.89684,2.0932,0.00088778,0.00088778,0.00088778
169,24860.6,0.67691,0.41417,1.16667,0.77849,0.77151,0.80586,0.48756,1.44122,0.8971,2.09457,0.00088112,0.00088112,0.00088112
170,25007,0.67165,0.40919,1.1661,0.7714,0.77703,0.80536,0.4869,1.4413,0.8981,2.09681,0.00087446,0.00087446,0.00087446
171,25153.4,0.67592,0.41423,1.16765,0.77217,0.77684,0.80533,0.48658,1.4409,0.8988,2.09736,0.0008678,0.0008678,0.0008678
172,25299.8,0.67084,0.4094,1.16392,0.77125,0.7772,0.80556,0.48695,1.44094,0.89958,2.09905,0.00086114,0.00086114,0.00086114
173,25445.8,0.6593,0.40244,1.15179,0.77554,0.77269,0.80512,0.48645,1.44008,0.8995,2.09473,0.00085448,0.00085448,0.00085448
174,25591.9,0.66351,0.4053,1.15786,0.77587,0.77277,0.80531,0.48678,1.44151,0.90049,2.10185,0.00084782,0.00084782,0.00084782
175,25738.3,0.65705,0.39924,1.15243,0.77462,0.77328,0.80543,0.48681,1.44102,0.90078,2.10333,0.00084116,0.00084116,0.00084116
176,25884.5,0.65423,0.40162,1.14731,0.77404,0.77375,0.80524,0.48735,1.44131,0.90149,2.10478,0.0008345,0.0008345,0.0008345
177,26030.6,0.64929,0.39871,1.14153,0.77449,0.77297,0.80452,0.48725,1.44103,0.90177,2.10591,0.00082784,0.00082784,0.00082784
178,26177.2,0.65451,0.39973,1.14445,0.77454,0.77322,0.80486,0.48709,1.44126,0.9024,2.1085,0.00082118,0.00082118,0.00082118
